1	howard the duck	willard huyck	comedy/sci-fi/action	1h 51m	15%	1986	n/a	TRUE	A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop a hellish alien invasion with the help of a nerdy scientist and a cute struggling female rock singer who fancies him.
2	superman iv: the quest for peace	sidney j. furie	fantasy/sci-fi/superhero	1h 33m	11%	1987	n/a	TRUE	The Man of Steel crusades for nuclear disarmament and meets Lex Luthor's latest creation, Nuclear Man.
3	hobgoblins	rick sloane	thriller/indie	1h 32m	11%	1988	n/a	TRUE	A young security guard must track down diminutive aliens who kill people even as they make their fantasies come true.
4	mac and me	stewart raffill	sci-fi/fantasy	1h 39m	38%	1988	n/a	TRUE	A young extraterrestrial, separated from his family and stranded on Earth, finds friendship with a handicapped youth.
5	troll 	john carl buechler	fantasy/horror	1h 26m	25%	1986	n/a	TRUE	A wicked troll king in search of a mystical ring that will transform him to human form invades a San Francisco apartment complex where a powerful witch lives.
6	troll 2	claudio fragasso	fantasy/mystery	1h 35m	6%	1990	n/a	TRUE	A family vacationing in a small town discovers the entire town is inhabited by goblins in disguise as humans, who plan to eat them.
7	north	rob reiner	adaptation/fantasy	1h 27m	14%	1994	n/a	TRUE	Sick of the neglect he receives from his mom and dad, a young boy leaves home and travels the world in search of new parents.
8	battlefield earth 	roger christian	sci-fi/action	1h 59m	3%	2000	n/a	TRUE	It's the year 3000 A.D.; the Earth is lost to the alien race of Psychlos. Humanity is enslaved by these gold-thirsty tyrants, whom are unaware that their 'man-animals' are about to ignite the rebellion of a lifetime.
9	the room	tommy wiseau	drama/romance	1h 39m	26%	2003	n/a	TRUE	Johnny is a successful bank executive who lives quietly in a San Francisco townhouse with his future wife, Lisa. One day, putting aside any scruple, she seduces Johnny's best friend, Mark. From there, nothing will be the same again.
10	birdemic: shock and terror	james nguyen	drama/mystery	1h 45m	19%	2010	n/a	TRUE	A horde of mutated birds descends upon the quiet town of Half Moon Bay, California. With the death toll rising, Two citizens manage to fight back, but will they survive Birdemic?
11	plan 9 from outer space	ed woods	drama/sci-fi 	1h 20m	67%	1959	n/a	TRUE	Evil aliens attack Earth and set their terrible "Plan 9" into action. As the aliens resurrect the dead of the Earth, the lives of the living are in danger.
12	the roller blade seven	donald g. jackson	indie/action	1h 30m	19%	1991	n/a	TRUE	In a futuristic society, a sword-wielding roller skater fights evil ninjas, punk roller skaters and is sent on an important rescue mission
13	ghoulies iii: ghoulies go to college	john carl buechler	horror/comedy	1h 34m	20%	1991	n/a	TRUE	A college teacher brings the little creatures back to his campus, where they proceed to terrorize the faculty and students.
14	the toxic avenger	lloyd kaufman, michael herz	fantasy/sci-fi	1h 50m	70%	1984	n/a	TRUE	Tromaville has a monstrous new hero. The Toxic Avenger is born when meek mop boy Melvin falls into a vat of toxic waste. Now evildoers will have a lot to lose.
15	super mario bros.	rocky morton, annabel jankel	 fantasy/sci-fi	1h 44m	21%	1993	n/a	TRUE	Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.
16	silent night, deadly night part 2	lee harry	slasher/thriller/holiday 	1h 28m	30%	1987	n/a	TRUE	The now-adult Ricky talks to a psychiatrist about how he became a murderer after his brother, Billy, died, which leads back to Mother Superior.
17	tammy and the t-rex	stewart raffill	sci-fi/comedy	1h 22m	38%	1994	n/a	TRUE	An evil scientist implants the brain of Michael, a murdered high school student, into a Tyrannosaurus. He escapes, wreaks vengeance on his high school tormentors, and is reunited with his sweetheart Tammy.
18	dragon ball evolution	james wong	fantasy/action	1h 40m	15%	2009	n/a	TRUE	The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.
19	star wars holiday special	steve binder, david acomba	sci-fi/comedy	2h 00m	30%	1978	n/a	TRUE	Chewbacca and Han Solo try to get to the Wookiee homeworld of Kashyyyk to celebrate Life Day, but are impeded by an Imperial blockade. Chewie's family passes the time with various forms of entertainment.
20	jack frost	troy miller	fantasy/slasher	1h 30m	7%	1997	n/a	TRUE	After an accident that left murderer Jack Frost dead in genetic material the vengeful killer returns as a murderous snowman to exact his revenge on the man who sent him to be executed
21	santa and the icecream bunny	barry mahon	family/holiday	1h 36m	11%	1972	n/a	TRUE	When Santa's sleigh gets stuck in Florida, he tells a group of kids the story of Thumbelina.
22	to catch a yeti	bob keen	action/comedy/family	1h 35m	14%	1995	n/a	TRUE	While trying to escape hunters, Hank the Yeti finds himself befriending a American family in a big city.
23	coneheads	steve barron	comedy/sci-fi	1h 28m	35%	1993	n/a	TRUE	Aliens with conical crania crash-land on Earth.
24	the garbage pail kids movie	rod amateau	cult/comedy	1h 40m	28%	1987	n/a	TRUE	Dodger must confront the struggles of life as he is visited by the Garbage Pail Kids and intimidated by some older bullies.
25	soultaker	michael rissi	fantasy/teen	1h 34m	29%	1990	n/a	TRUE	Four teenagers are killed in a car accident. Two of the teenagers refuse to go with "The Grim Reaper" and a race between life and death ensues!
